"","title","writer","written","rating","comment"
"1463","Great display - mind blowing ","Travel Bug","Sep 2019",4,"loved the amazing displays was blown away with the history here    who knew britain had a lot of egypt’s relics    word to the wise  the toilets are hard to find the boys are up the stairs and the girl are at the bottom   also closing time isn’t announced they just closed…"
"1464","Amazing","Rowena A","Sep 2019",5,"could spend ages in here  a must for those interested in history  especially enjoyed the egyptian artifacts"
"1465","Something for everybody","Doli","Sep 2019",5,"although my boyfriend and i arent big museum lovers we liked this one and spent lovely  hours there my advice is to get yourself a paper map of the museum then its a lot easier to go around and the map also contains information about daily free tours my other advice is…"
"1466","Incredible","Frequent-travellers1","Sep 2019",5,"one of my favourite places in london incredible exhibits and space definitely need to visit whilst youre here"
"1467","So much to see!","Sharon F","Sep 2019",5,"so many wonderful things to see  so many historical items in the collection which helps bring history to life"
"1468","Too much to see","easyxpress","Sep 2019",5,"the place has a lot of exhibits and huge too we went there late in the day to avoid the crowd its good because theres no wait but ran out of time to see more since the admission is free can always go back"
"1469","Could spend years here.","Janet_D752","Sep 2019",5,"you can get quite an education at this amazing place the exhibits are thoughtful and well laid out "
"1470","Rosetta Stone","John H","Sep 2019",5,"the rosetta stone is one of the most important discoveries in interpreting egyptian artifacts it perimits translation of greek dometic and heiroglyphs  it was displayed in a very nice stand and the work by champollon was expained"
"1471","Private tour of The British Museum","Kathryn M","Sep 2019",5,"the british museum is amazing  our guide showed us    less frequently viewed exhibits over two hours  also managed to view the rosetta stone in passing  definitely inspired to go back"
"1472","Holiday ","MattM1986","Sep 2019",4,"the interior was nice an impressive collection  its free and worth the visit  make sure to set aside a few hours "
"1473","Crowded visit to a large, national museum","palfremanandy","Sep 2019",3,"as is inevitable these days all visits to large national museums are so crowded that there is very limited opportunity to really look at and appreciate the exhibits even going early we had to queue to go in then the inevitable bag check and then a new one to me the request…"
"1474","British Museum","Kerry","Sep 2019",5,"one of the best places we visited  had artifacts from all over the world including mummys  went in the early morning before it got crowded  there is alot of history there"
"1475","Wonderful place to go and free, my very favourite price!","Claudette E","Sep 2019",5,"i went on a bible tour where we followed the ancient assyrians and their drama  we were a group of around  from england ireland and holland ages from in the pushchair to over "
"1476","Allow lots of time.","Explore236063","Sep 2019",4,"an excellent place to visit  i wish we had had more time  one could spend days here we did a quick walkthrough the ancient egyptian ancient assyrian and ancient greece is exhibits quite interesting "
"1477","Wow","ana t","Sep 2019",4,"the museum is incredible takes a few hours to see it has quite an extensive collection covering pretty much all ancient civilizations absolutely stunning "
"1478","Worth at least a day","jw s","Sep 2019",5,"a decade after my first visit i spent an afternoon at the british museum and covered only about a quarter of the museum the ancient egypt and ancient greece rooms are mustsees but it is difficult to point out anything that is “skipable” in here do take your time and…"
"1479","Amazing collection","Mark Webber","Sep 2019",4,"the collection here is incredible however i must admit i found that the displays were disconnected from the people who would have used the objects the museum felt a little like an art gallery rather than a place where people learn about the past"
"1480","Very Busy","hide_10","Sep 2019",4,"busy bustling museum with plenty to see  might be best to plan ahead and decide what you really want to see  food and drink like most museums in london is pricey but then entry is free  you will have your own favourite sections in the museums given its central location and…"
"1481","Loved it","HappyStu","Sep 2019",5,"the best museum in london its really busy with lots of exhibits from all over the world you can easily spend most of the day here especially if its sunny and you have your own lunch just drift from hall to hall and then break for lunch "
"1482","A must see","Juanita M","Sep 2019",5,"the british museum is the home of the rosetta stone the ancient greekegyptian translation system the museum host a wonderful collection of ancient egyptian artifacts   a must see"
"1483","HUGE and amazing","Mateo Alejandro Gonzalez","Sep 2019",5,"there is seriously not enough time to see everything in that museum one of the most captivating collections of ancient artifacts from so many civilizations i have ever seen in my life do yourself a favor and dedicate a day to it you will not regret it "
"1484","Just wonderful","Hannah","Sep 2019",5,"between the amount of rooms to go into and the vast selection was amazing to see the signs around the museum are very informative also the staff can point you to what you want to see when you ask them looking forward to another visit there"
"1485","So much to see!","Cortina A","Sep 2019",5,"went to the british museum in june with my mom and teenage daughter it is so big that you really have to plan for it we allotted about  hours and we barely scratched the surface you can easily make a day of it if you want to but we were already tired from other site…"
"1486","Huge","Ronen99","Sep 2019",5,"what a huge place so interesting for history buffs it covers such a various part of history its amazing overwhelming i would advise to go twice and divide the time because it can be a lot to take in especially for teens dont miss it "
"1487","Wonderful ","Richard K","Sep 2019",5,"an amazing place  we took an egypt introduction tour and were not disappointed  very interesting for the whole family "
"1488","Amazing - very large","JC.A","Sep 2019",4,"incredible artifacts and display of world history allow at least  hours  hours if you want to reach all areas of the museum since it’s very large  very crowded so plan accordingly  we arrived later in the day and that helped air conditioning is light in some parts of the…"
"1489","Great tour that gave the highlights","fli3fli3","Sep 2019",5,"the british museum has huge collections which while wondering could be overwhelming especially for people with limited time our guide beckydid a terrific job giving us a high level overview of the history of the museum and then took us through the highlights becky was…"
"1490","Excellent - Wide variety for any interests","Kevin G","Sep 2019",5,"exceptional museum  easy to navigate through the building and collections  lots of individual artifacts of different periods and cultures detailed explanations of each item  one of the best i have visited in europe for simplicity yet informative and lots of content  one of…"
"1491","Beautiful museum","JohnMc198077","Sep 2019",5,"beautiful museum when we first arrived on the premises we were quite shocked at how long the line extended outside although it looked daunting the line moved very quickly and we were in the museum in no time in addition because the museum is so massive it wasnt too…"
"1492","Where Are We","Alistair W","Sep 2019",4,"great and interesting exhibits if you can find your way around mapping unclear and difficult to understand "
"1493","History for days","MISSPOLYMERCUPCAKES","Sep 2019",5,"i went on a solo trip to the museum and thoroughly enjoyed myself i did like the fact that there were chairs you could carry around with you inside the museum   food was obviously a little bit more pricier but that was expected   the toilets were clean especially since there…"
"1494","This was a pretty good museum","Tal_Hameed","Sep 2019",3,"it was pretty good with a lot of artifacts but there are better museums in europe like the padro museum in madrid spain and louvre museum in paris france"
"1495","What an awesome museum!","stjohnbeachlover","Sep 2019",5,"my sister and i visited the british museum while visiting london the admission is free but they do take donations we strolled around for an hour or two my favorite exhibit and probably the most famous was the rosetta stone there is a security check point that takes maybe…"
"1496","Wonderful museum","dscStLouis","Sep 2019",5,"this was spectacular museum we hardly saw any of it would like to return for more there were traveling exhibits as well as permanent "
"1497","The museum","PaleTov","Sep 2019",5,"well organized nothing to say about neive points dont miss the rosetta stone and the pantheon area"
"1498","Great miseum","Mira","Sep 2019",5,"free admission is unbelievable great collection with cafes shops and sitting areas if you’re tired"
"1499","Great place to browse","Michael I","Sep 2019",5,"entry is free but they ask a  pound donation which we thought very reasonable  get in early it opens at  to avoid the crowd who h builds up by   the rosetta stone is a mustsee but the egyptian and ancient english history are fascinating too"
"1500","Do a great line in coercion","emmacowdrill","Sep 2019",2,"having not been to the british museum recently my daughter and i queued patiently to have our bags checked and then were told to go to till  no explanation was given and it was an instruction rather than an option at till  we were asked how much we wanted to donate no…"
"1501","An absolute must","YangonPyay","Sep 2019",5,"an absolute must when visiting london from the elgin marbles ancent egypt and all the way up to a recent exhibition on the development of manga this is the place of preservation of world culture try to arrive at opening to avoid too many crowds or towards the end of the day…"
"1502","The Best Museum","jcrow","Sep 2019",5,"a million and more artefacts rosetta stone mummies human history for  years in this one place its a fantastic a must see a must do bring the family its amazing "
"1503","<U+0001F44D> ","Moran C","Sep 2019",3,"after being in many museums this is one more the exhibition are nice but the areas are  in order that could understand the museum as free wifi and its for free  "
"1504","Doorway to human history, art and culture!","Sudeep D","Sep 2019",5,"its permanent collection of some eight million works is among the largest and most comprehensive in existence having been widely sourced during the era of the british empire the museum holds the largest collection of egyptian objects outside egypt highlights include the…"
"1505","Amazing!","Jenniffer","Sep 2019",5,"so many things to see at the museum and so little time i enjoyed looking through the different expositions and learning about their history"
"1506","Review on African Art","Janette Agueze","Sep 2019",5,"fun fact  if its a rainy day in london everyone goes to the museum sooooo this means long lines with that being said the museum is massive and would probably take a good  hours to explore with my african studies background and previous visits to various african…"
"1507","British Pride.","Mill Jackie","Sep 2019",5,"this is pride for british people every british should visit this place once in their life highly recommend"
"1508","Breath taking","Hadar G","Sep 2019",4,"the huge space the main hull  and the big variety of both permanent and temporary exhibition makes you loosing time and continue to wonder around  "
"1509","Dont miss","eduardox927","Sep 2019",5,"if you like travel in history of mankind this is a place to go they have a numerous times of archeological collections from different eras of mankind of course you can still wanna look the rosetta stone"
"1510","World Wide artifacts of different eras","PSztain","Sep 2019",5,"this museum is very big so give yourself time probabbly  to  hours going at a good pace it has different shops coffee shops restaurants and bathrooms through out the building sundays is free entrance and you find lots of tourists and locals incoming from the time the…"
"1511","One of the Best Museums","Christopher M","Sep 2019",5,"the british museum is one of the best museums ive visited it is huge so plan no less than half a day so that you dont rush there is simply a lot to take in if youre visiting during the high tourist season go as early in the day as you can to avoid as much of the crowd as…"
"1512","Could spend all day here","Patricia H","Sep 2019",5,"there was a line for bag check but moves fast  there so much to see i didnt cover it all in hrs  i ate there  had an english tea  it was good plus as others said i considered it a donation since its free to see unless you want give  pound donation but i say save your…"
"1513","Absolutely amazing","Pamela","Sep 2019",5,"the british museum is huge i didnt have time to look round everything there was a roman section with statues of roman emperors an egyptian section all different sections from different times in history the antique jewellry was amazing the building itself is an…"
"1514","Ashurbanipal exhibition","Shehryar K","Sep 2019",4,"superb creative and innovative story telling brings this ancient civilisation to life lighting of displays was ingenious"
"1515","Wow! Something for everyone here.","Karen T","Sep 2019",5,"this is perhaps one of the best museums in the world free to enter and floors of exhibits benefiting from years of british colonial activities my husband and i separated to look at our own areas of interest and were both blown away by the range and quality of exhibits set…"
"1516","""Manga "" and  Edvard Munch.","Afrodite P","Sep 2019",5,"manga was a perfectly organized exhibition i was imptressed by the introduction  as there were many info that i didnt know i enjoyed the circular presentation of the artworks and i think it was a very good choice to have a red wall to show the illustration better"
"1517","LONDON - The British Museum","Milton R","Sep 2019",5,"well worth the admission fee britain is steeped in history from the kings  queens to winston churchill undefeated in  world wars"
"1518","Amazing","Eliott J","Sep 2019",5,"just a whistle stop tour of hrs at the end of the day so only focused on egypt and greece but still amazing the museum is vast and the main atrium is incredible will be going back to take in the rest soon"
"1519","Great Museum","Fozzibear999","Sep 2019",4,"this is a very impressive museum with amazing exhibits from all around the world  the main auditorium is very impressive if a little sparse  the gift shops were well stocked with high quality items  it would have got five stars but for the lack of seating in restaurant areas"
"1520","Stunning and Enormous","SWilson10","Sep 2019",4,"amazing works of art including the scream the museum is physically stunning but it’s vastness is almost overwhelming it’s a place you could easily spend several hours wandering through and leave knowing you missed a lot if you enjoy art museums you should visit this one…"
"1521","AMAZING, do not miss!!!","Amanda P","Sep 2019",5,"anyone even remotely interested in history should check it out i mean it’s free you could spend days here looking at all the artifacts i would very highly recommend checking it out and spend as much time as you feel compelled to"
"1522","One of the worlds must see museums ","Leddacate","Sep 2019",5,"what an amazing place to spend a rainy day or indeed any day we visited specifically for the manga exhibition and so we skipped the queue as we had pre booked tickets we have been many times before but always notice something new  there are the most amazing artefacts around…"
"1523","Fabulous A Must See","Gail Z","Sep 2019",5,"most wonderful point was its enormity but not overwhelming surprised there were museum monitors everywhere which was relaxing fab cafe and restaurant on the second floor gift shops  were stuffed with all kinds of things  free free free elevator but not as many sit down…"
"1524","All this and it's FREE! Don't miss it.","Andrew G","Sep 2019",5,"what an amazing collection of artifacts from almost every part of the world spanning almost all of time you could spend days here and still not really take it all in everything is very well laid out and displayed with great detail the write ups have a good amount of info…"
"1525","Amazing artifacts","Gregg R","Sep 2019",5,"other than the fact that many of the most amazing artifacts were stolen from egypt this place is full of amazing history i’m sure egypt is sorry they gave this all away for nothing but it is surely england’s gain"
"1526","Great for the kids","Timothy P","Sep 2019",5,"can spend almost unlmited time here with the kids  so much borrowed stuff to see from all over the place"
"1527","The most visited museum in London !!!","Philip","Sep 2019",5,"if you’ve got a few hours to spare in central london then you must visit the british museum it’s free entry  a great place to spend a few hours the nearest tube station is russel square like i said not only is it free entry it’s got some fascinating artefacts on display…"
"1528","Good Manga Exhibition","LME","Sep 2019",4,"i had great fun visiting the manga exhibition however  it was very busy and had too many people arriving at the same time this created bottlenecks and the layout didnt help  i would go to see other stuff too as this exhibition wont take too long to see"
"1529","Stunning","H007 E","Sep 2019",5,"i always love to spend a few hours in the british museum when i visit london for work  it’s the best way to thoroughly enjoy myself   the session of china is cast  born and raised in china i was mesmerized by the fine art exhibited   the tour guide is knowledgeable and…"
"1530","Amazing Spectacle","200rachellg","Sep 2019",4,"amazing things to look at  leave hours to see it all like  hours especially with the crowds very eclectic selection and its free was a little warm for this american in summer but not unbearable"
"1531","Magnificent","Sourav","Sep 2019",5,"the british museum is a must visit destination for anyone with even minor interest in the history  shared cultural heritage of mankind don’t miss the assyrian  the parthenon collections they should be on everyone’s bucket list the egyptian collection including the famous…"
"1532","Really neat interior architecture","Sanjay G","Sep 2019",5,"so i wasnt necessarily here for the exhibits i was photographing the interior just look at the ceiling with my brother and came up with some interesting patternscompositions really liked it i have only heard great reviews about the exhibits so will have to visit this…"
"1533","Best attraction in town","Gabriel G","Sep 2019",5,"my favourite spot to wonder around and learn new things about history and different cultures  the diversity in this museum is very vast"
"1534","A marvellous place with so many interesting exhibits and seminars","michellesherman","Sep 2019",5,"it really is a marvellous place with so many interesting exhibits and seminars well worth a trip it appeals to all family age groups there is always something for everyone one of my favourite places to visit"
"1535","Impressive Museum","RBB","Sep 2019",5,"the british museum building is large and impressive the egyptian exhibits were very interesting and the asia and india exhibits too there is plenty of room and it is light and airy in most areas so that it doesn’t feel crowded even when there are a lot of people there there…"
"1536","Very impressive","disgruntled","Sep 2019",5,"what can you can you say about this wonderful museum to do it justice everything awe inspiring the outside inside entrance hall the exhibits particularly for me the egyptian and other middle eastern galleries and the atmosphere just make for an excellent day out"
"1537","Maaaassive museum","Chris","Sep 2019",4,"allot at least half a day if you want to go through this whole museum because it is huge must see are the rosetta stone the mummies and the really old greek sculptures entrance is free but very useful to get the  map of the museum so youll be guided if you want to plan…"
"1538","One of the most comprehensive museums I've ever visited","BrendaGracia","Sep 2019",5,"one of the most comprehensive museums ive ever visited the museum is huge you need  to  hours to explore every section their iconic glass dome is beautiful and put some artsy touch to the building  they have egyptian mummies modern artifacts easter islands statue you…"
"1539","One of the best civilization musium","MIA28kuwait","Sep 2019",5,"my main interest to visit this museum is to see main sections of islamic art and egyptian history i can’t count how many visits i had in the past yearsbut  certainly i will keep visiting this great museum every time i come to london every visit i see new things and learn few…"
"1540","LOADS TO SEE","F B","Sep 2019",4,"visited with familythis is where the bollywood movie was shot amazingglass roofso much to seefelt needed an extra day herereally good lot of historyamazing islamic greekromanafrican artefacts could be sign posted better as felt didnt know which way we were going half…"
"1541","Don’t miss it!","Kimberly Cole","Sep 2019",5,"to see it all would take a week so much history loved everything about it can’t wait to go back"
"1542","Loved it!","Laketide","Sep 2019",5,"you need  to  hours to enjoy this all i can say is i could have spent  hours here take your time to ensure you do not miss anything that is on display the history is outstanding  very easy to get around well laid out "
"1543","Amazing!","camilarosadas","Sep 2019",5,"wonderfull time with kids they have a lot of history mummy in a wonderfull place the glass ceilling is wonderfull"
"1544","You Could Spend Days Here","Chris1620","Sep 2019",5,"talk about an amazing museum  if you have more than a mild interest in history and different cultures you will find this to be incredible  we spent over  hours here and barely scratced the surface in all the exhibits  of course we saw the rosetta stone and plenty of…"
"1545","Amazing ","<U+039B><U+03AC>µp<U+03C1><U+03BF><U+03C2> <U+039B>","Sep 2019",5,"i am greek and  of the museum has greek art you should return the sculptures back to greece also there is art from other countries "
"1546","Amazing exhibits, a must-see in London!","lizcherry2018","Sep 2019",5,"this was my first visit to the museum and i wish i could have stayed all day we went mainly to see the egyptian collection which didn’t disappoint but the other collections were very good as well amazing to see the rosetta stone in particular that was the real highlight for…"
"1547","Worlds histories artefacts are to be found here","Sofie D","Sep 2019",4,"spacious museum with wonderful artefacts plenty of things on ancient rome and egypt but also from the arabic world and wonder asian cups made  of shells"
"1548","Very exciting - as always","VA2402","Sep 2019",5,"british museum is always worth a visit its such a beautiful building and there are so many astonishing things to see you should allow yourself at least    hours there staff is very kind and helpful vibeke aalborg denmark"
"1549","Marvelous Museum","Ellyk2012","Sep 2019",5,"the amount of artifacts and exhibits is incredible if you dont have alot of time get the museum brochure upon entering and it will list the  items that are highly recommended to see  very interesting and informative you will not be bored"
"1550","Pleasant visit","Vicky Y","Sep 2019",4,"this is a free admission museum  compared to victoria and albert’s museum there are more artifacts to see here and more levels  would be sure to come early given that the security lines tend to be longer once they opened  a lot of people do visit this place including tours…"
"1551","Nearly missed my train I was so engrossed!","Donna Clarke","Sep 2019",5,"i thought i would just kill the hour before my train going to the museum before i left but two and half hours later i’m running toward euston because i just wanted to look at it all i want to go back and spend the day there it was fascinating very well kept clean stopped…"
"1552","The British Museum","janepG6761ND","Sep 2019",5,"an amazing museum full of so many artefacts from around the world and across the ages wonderful to see how civilisation has evolved it is incredible that this amazing museum is also free of charge also very accessible"
"1553","Lots to see","Zoe D","Sep 2019",4,"due to accessibility issues i don’t think we saw everything however we did see a lot and it was all very well presented i even saw things i didn’t expect too the fact that it’s free to get in is a bonus although everywhere you go there is signs and boxes asking for donations…"
"1554","Very nice collection & free of charge","Christine E","Sep 2019",5,"it’s a great museum to visit because of their extensive collections from greek artifacts to egyptian mummies you can spend a whole day here if you visit everything but if they have listed the highlights if you have a very limited time best of all entrance is free don’t get…"
"1555","Brilliant exhibition","p0wer.pixie","Sep 2019",5,"visiting with a friend who knew i would enjoy the egyptian exhibition  spent a few hours there extremely busy on a saturday midmorning long lines that moved really quickly and anyone with large bags as i did prepare to have them checked by the security team   highly…"
"1556","Could spend a whole day in this museum","ejsmith","Sep 2019",4,"visited this museum twice recently and found it to be fantastic both times you explore the history and culture of countries around the world from egypt and japan to australia and the americas  do note that the museum becomes very busy in the summer months and becomes…"
"1557","World class museum","GnosticDwarf","Sep 2019",5,"free admission to a hugely impressive building with fabulous roof to the great court  with so much to see august is definitely a month to avoid as its incredibly busy but worth it  must sees include the rosetta stone parthenon marbles lewis chessmen the rothschild…"
"1558","British Museum in August 2019","Gina M","Aug 2019",5,"have visited this museum many years ago and it is amazing and free admission  however way too busy in august"
"1559","Great visit","Dan Turner","Aug 2019",5,"this place is huge and has so much history from mummies to the rosetta stone it offers so much as each one of our kids had something on their list they wanted to see there we didn’t have the whole day to spend there but will have to go back next time we’re in london "
"1560","Whole world under one roof!","Gurusworld","Aug 2019",5,"architecture from outside is impressive enough but inside much better the representative photo is where you stay at entry there were a lot of historical pieces also from anatolia turkey and persia which of course interested me most also ancient egypt was impressive what i…"
"1561","Amazing day out","Barrybloor","Aug 2019",5,"arrived early so as to avoid crowds which was a good idea queue rails like a theme park show what queues can be like later anyway entry is free which is brilliant considering all that is in there donations of  are heavily encouraged though which is fair enough after about…"
"1562","Must visit","Fatus Olus","Aug 2019",4,"the interior of the museum is a bit outdated but the exhibits make up for it the greek marbles the egyptian mummies and the japanese artifacts were breathtaking"
"1563","Amazing","Kathleen L","Aug 2019",5,"i tried to visit the british museum at least every other trip to london their standing exhibits are nothing short of extraordinary and  rival just about every other antiquities exhibit  in terms of their ancient egypt collections i have only seen one other better than…"
"1564","See antiquities and more","Edward J","Aug 2019",5,"i got a special treat seeing a rothchild collection from the new smoking room from one of their great mansions it is only open periodically throughout the day"
"1565","It´s good but London has better to offer","AnaCatarina_i","Aug 2019",3,"dont get me wrong this museum has the best collection of historic artefacts from around the world but for me it feels like its too big and too crowded"
"1566","First time visitor","travelbod04","Aug 2019",4,"went late afternoon as the queues to get through security mid afternoon were around the block large and impressive museum but i prefer to see a lot of the exhibits in their natural environment as it feels more authentic ie egyptian artefacts seemed more impressive in situ…"
"1567","A place for History seekers","Rohit8492","Aug 2019",3,"there are a variety of things to see here from egyptian tombs to greek artefacts and from indian pillars to roman sculptures i would not suggest this if you have a young kid as our little was bored but the adults in our group enjoyed there was something for everyone"
"1568","Very Nice","Thoklas05","Aug 2019",5,"very nice and big museum with restaurants and souvenir shops to cafeslastly the museum had a lot of greek and egyptian"
"1569","Big but dull","ian f","Aug 2019",3,"at a loose end and having never visited before we popped in in the british museum the central circular building and cover is awesome and makes for a spectacular entrance  after that our comments were it was very ‘dry’ with case after case of exhibits mostly ‘plundered ‘ from…"
"1570","Second Visit","Rachel W","Aug 2019",4,"this was our second visit to the british museum having been  years prior  we went on a really hot day well by british standards as we knew this would be a good place to keep cool  the museum is huge and is well equipped with places to eat and also to sit"
"1571","Worth the wait!","Vunderlost","Aug 2019",5,"where else can you see so many of our collective cultures in one place amazing artifacts from all cultures arrive early and try for a weekday to avoid the queue but go anyway if you cannot"
"1572","The Best","GlobalTrendSetter","Aug 2019",5," place to visit in london so much to see we ran out of time and will make a poiunt of visiting again next time"
"1573","very nice","itsvicky","Aug 2019",5,"lots of space here the center seems almost unused very intresting displays and use of lighting in many areas "
"1574","Nice day out","skyes3","Aug 2019",5,"went with my husband to visit great for a lovely day out lots to see love the gift shop my husband have to drag me out just wanted everything will definitely go again if have time "
"1575","Fabulous","Tracey G","Aug 2019",5,"a great way to see london wonderful friendly and helpful staff tickets best pre bought online in a combo with other attractions for best value"
"1576","Vacationers ","Sue G","Aug 2019",5,"im so glad we went to the british museum i really wanted to see the rosetta stone and i  was delighted to find out one of the easter island statues was there all in all a great experience"
"1577","Worth the line-up","Mark","Aug 2019",4,"great museum with historic pieces on display sutton hoo treasure  pattern welded crucible steel sword found in the boat burial is an unbelievable item considering the steel technology used to make sword wasn’t known in britain again until ’s the rosetta stone lewis…"
"1578","A definite museum","RLBAllen","Aug 2019",4,"really great central location right by picadilly circus tube station good kids menu  dealt with sons allergy well good food portion sizes decent and served hot without a big wait despite it being a busy weekend early evening good option on the pricier side though so for…"
"1579","Too hot","Katarzyna J","Aug 2019",1,"i was there with two young girls and was over crowded and too hot some of the  places no having enough of fresh air and was taking your breath stop from heath and smell great place but stay there for long time unbelievable because of lack air conditioner that’s make our visit…"
"1580","So much to see","MAC","Aug 2019",5,"this is an amazing museum free to enter they would like a small donation so a cheap day out you need to plan what you want to see as there just so many exhibits too review something for everyone regardless of age recommended"
"1581","Terrible behaviour of security staff","Hooman J","Aug 2019",1,"every part of my visit to the british museum with my two little children was amazing apart from the last part when a female security staff showed the most humiliating and disgusting manner that i hadn’t experienced anywhere in the uk or elsewhere she and her colleagues…"
"1582","Best museum of the world.","swamyb","Aug 2019",5,"who said best things are not free thanks uk and london for making my visit memorable with this museum it is free we went around pm and was able to cover most of the artifacts best highlights were rosetta stone renaissance arts greek  egyptian mummies including…"
"1583","best museum in London","sisal08","Aug 2019",5,"i  enjoyed going to this place i am planning  to visit this place again during  my few days vacation  in london "
"1584","My favorite in London","Fatima E","Aug 2019",5,"i try to visit it every time i am in london you can spend the whole day there it has also external exhibitions of  different artists"
"1585","Exquisite!","Shelly M","Aug 2019",5,"this is the type of museum that you need a month to see everything my main focus due to time constraints was the egyptiania and it did not disappoint   a truly glorious exhibit"
"1586","Magical manga exhibition","OldGirlTravels","Aug 2019",5,"the british museum was buzzing throughout this magical and compelling exhibition a much more diverse range if visitors than usual at its paying exhibitions packed the gallery every time i visited the exhibition was a perfect balance of scholarship and popular appeal with a…"
"1587","Great family activity","TheNagle","Aug 2019",5,"we did the british museum as our first excursion in london  it didn’t disappoint  it was very busy but there was a special queue for families with young children in prams  there was also a superb children’s centre with great changing facilities lockers and a picnic area   …"
"1588","Always worth visiting ","Michele P","Aug 2019",5,"this incredible museum has so much to offer that you simply need to keep going back  best tackled by subject matter so that you are not overwhelmed wonderfully presented displays of artefacts from around the world there is something for everyone  worth fitting in on a…"
"1589","Just perfect ","richJay","Aug 2019",5,"what can anyone say about the british museum that hasnt already been said simply the best museum in the world "
"1590","Fun but crowded","Nicola P","Aug 2019",5,"spent a wet afternoon in the british museum it was really good but very crowded during to the rain  kids loved it"
"1591","Love it","degan","Aug 2019",5,"it was absolutely jammed when we visited this time  as well as very very hot in the upstairs egyptian exhibit so that detracted from the overall experience but this remains one of my favourite museums and favourite spots in london the ability to see exhibits at eye level and…"
"1592","Classical Antiquities","Scott P","Aug 2019",5,"for those interested in archaeology the british museum will not disappoint here there are the classical antiquities of that of egypt and the ancient near east as well as that of ancient greece and rome there are also displays of indigenous civilizations from other parts of…"
"1593","Amazing","James N","Aug 2019",5,"one of the best museums i’ve ever visited so much to see and a lot of interesting and interactive things to do would definitely bring my kids there if i had the chance"
"1594","Much too hot on a hot day","Steambush","Aug 2019",4,"we came to see the rosetta stone and the sides of the parthenon it has amazing artifacts i must say but amazingly it is not air conditioned it was an amazing facility but it became an endurance contest to see how long you could last in the stifling heat made worse by lack…"
"1595","A must see in London","tb004","Aug 2019",4,"get there early the lines can get crazy long we got there to the back entrance about  mins early and got right in later they were quite long even in the rain allow for several hours if you want to see everything theres a lot in there its free the way we did it but…"
"1596","British Museum is a must visit","Geo D","Aug 2019",5,"this is one of the must see institutions for any visit to london the permanent exhibits are never old no matter how many times we have been there is so much to learn about humanity across centuries  do try to miss holiday periods and weekends though it is incredibly popular…"
"1597","The British Museum","kskkd","Aug 2019",3,"the british museum has great architecture as you enter the building  the museum itself was just ok  best part besides the interior lookit was free"
"1598","Ausie in London","castletony0","Aug 2019",4,"walked from keningston  gardens through to the british museum  this museum is free only had four hours to go through it but well worth the visit if you are in london don’t miss it   "
"1599","Popular place","David J","Aug 2019",4,"we got there  minutes before opening so had a coffee  minutes later a huge queue but it moves fast museum itself is fascinating and lots of very helpful staff we needed a wheelchair  free and easy to grab signage not brilliant so great having staff everywhere…"
"1600","Manga","Chi","Aug 2019",5,"it’s a rare exhibition that attracts old and young with equal enthusiasm and joy manga is one of them which blends historical context and cultural intelligence modern and full of life tries to explain why it invades every pore of japanese life whereas american and british…"
"1601","Culturally diverse","Neil G","Aug 2019",5,"brilliant for a visit pick out a few things to find to capture imagination and find surprises along the way"
"1602","Get There Early and Plan to Stay for As Long as You Can!","Arthur G","Aug 2019",5,"the first time we tried to go to the british museum it was on a saturday and when we arrived there were lines that spawned around the block and it was raining  we decided that since the museum opens at  we’d arrive at  and that was a smart move since we walked right in to…"
"1603","A must see museum in London","yfess2","Aug 2019",5,"this is an amazing museumits a must see even if you have a short stay in london   there was a long line when we got there on sunday about noon  however the line moved fasttook us half hour to get in first thing we did is get the museum guide we then headed to the the…"
"1604","Stunning! ","jollies14","Aug 2019",5,"amazing building and loved looking around the exhibitions were really good and fantastic value well worth the donation a must visit "
"1605","Totally worth it","Julie C","Aug 2019",5,"beautiful building with great exhibitions temporary exhibitions are kind of pricy but rest is free a must when visiting london even if its not for a long time"
"1606","Amazing visit","palith01","Aug 2019",5,"amazing visit to the british museum wish we could have spent far more time there will return fascinating  interesting and educational"
"1607","British Museum - not just the Rosetta Stone","Collene G","Aug 2019",5,"the british museum is where the rosetta stone is but there is a lot more in the museum than the stone  there is a vast collection of antiquities i suggest that you go on line and explore whats there before you go that way you can plan what you want to see  it can be…"
"1608","Don’t miss! ","pinkypopo","Aug 2019",5,"the british museum was not on my agenda when visiting london however my  yr old daughter really wanted to go after seeing lots of recommendations on social media  i was happy we gave in and went  it’s a beautiful museum  just the building alone is awe inspiring the…"
"1609","Brilliant","Brian L","Aug 2019",5,"what a wonderful experience  do as many have recommended and be there before the opening am you can get inside the museum proper get your audio guide and simply wait outside gallery  with others to race to see the rosetta stone however the time saved in waiting for…"
"1610","Good museum","Amy Jiang","Aug 2019",4,"if youre spending a few days in london you should definitely visit this museum lots of different exhibits from all parts of history including very good sections on the egyptions chinese and the romans they also have the infamous rosetta stone though it is usually quite…"
"1611","Amazing!!!","R.D","Aug 2019",5,"not to miss the best museum in london specially egypt rome and greece great books shop we had a great time"
"1612","Great visit during a rainy day","Radka P.","Aug 2019",5,"my husband and i visited the british museum on a very rainy day which was of course an idea of thousands other people  despite the enormous queue we didnt have to wait long the bm is exquisite but i recommend that you plan your trip thoroughly we only had several days in…"
