"title","comment","trip","writer","written","rating"
"Lovely place","Worth many visits for sure, so many art and historical pieces from around the world. Looking forward to visit again soon","October 2019","carlanselms","Oct 2019",5
"We love this museum","Where else can you see the Rosetta Stone , the Sutton Hoo treasures, the Parthenon marble reliefs and so much more. This easy to reach Museum from Russell Square or Holbern on the Piccadilly underground is a must see. It holds  the wonderful treasures from. Ikings to Romans and…","October 2019","Kerry R","Oct 2019",5
"This is the best archeological museum in the world. It has everything that you’ll ever want to see,","Should treasures be returned to where they came from? I’m not too sure. Natural and man made disasters can happen anywhere and treasures can be lost.  This museum is very respectful of the treasures it stores. Without this beautiful museum, people possibly wouldn’t have access…","August 2019","Margaret S","Oct 2019",5
"Weekend in London","Visited here while we were waiting to check into our hotel, fantastic place, absolutely huge, didn't manage to see it all in the time we had & all for free, will definately go for another visit in the future","October 2019","Sherrie E","Oct 2019",5
"Off season but still crowded.","Wonderful museum with so many treasures.  Loved the friezes from Athens but really wondered if they should be here.  From what I was able to see of the Rosetta Stone, it was amazing.  Don't miss this site, but pack some patience.","October 2019","Berling's Eldest","Oct 2019",5
"An absolute must!","The collection at the British Museum is truly unrivalled. Sometimes, the preceding adjective and the related adjective 'peerless' are bandied about too easily, but in this case they capture the situation perfectly. The extensive collections simply mesmerise.","August 2019","Perry B","Oct 2019",5
"Rosetta Stone","Wow, seeing the Rosetta Stone as you walk in is truly amazing.It is hard to believe how important it was in deciphering Egyptian writings To us the next impressive exhibits were the Elgin marbles that were removed from Athens.There must be some controversy with the Greeks since…","October 2019","Michael W","Oct 2019",5
"British Museum","My daughter and I enjoyed the beautiful British Museum with its expansive ceiling and design. It houses many artifacts of interest and I suppose it is good they are in one place. However, I side on the part of the countries, specifically Greece, who have requested the stripped…","November 2018","Suzanne R","Oct 2019",4
"Excellent ","Visited today with my 4 & 7 year old. There is a family desk which you can pick up adventured trails which my 7 year old found helpful as he wanted to see the Egyptian mummies  Facilities very good and a family room and lockers downstairs.  A lot of rooms which not all suitable…","October 2019","BettyVan14","Oct 2019",5
"Plan ahead for best results","This mighty, huge Museum contains so much that if you just go in without at least a rudimentary idea of what you would like to see, you will get 'gallery fatigue'.  Do a bit of research online and pick things that are of special interest to you.  A great place to visit if the…","September 2019","transplanted2016","Oct 2019",4
"Wow.. mindblowing","This place is so impressive.. the historical artifacts are absolutely mind-blowing.. free entrance, but I know everyone visiting is more than happy to give a donation for this marvelous museum!","October 2019","SW den Haan","Oct 2019",5
"Dream visit","Having visited the Parthenon on several occasions, I was eager to see the Marbles. (Wisely, curators no longer call them the Elgin Marbles.)  Yes, the British Museum has taken wonderful care of them, but maybe it’s time to go home to the beautiful museum prepared for them in…","October 2019","Paula","Oct 2019",5
"An educational and interesting way to spend hours","Spent a bout 4 hours in the Museum and didn't see all of it. I have been before and still find it interesting. The history and stories that you find and things you can see are amazing. This is certainly one of the best museums anywhere. The place is set out very well with good…","October 2019","Herlaping","Oct 2019",5
"The British Museum","Best museum ever. There is so much to see and take in that it’s impossible to see it all. Well worth the time.","October 2019","LauraGac","Oct 2019",5
"One of the best museums in London","Definitely my favourite when it comes to London museums.  Great space, breathtaking exhibitions. Definitely worth 2-3 hours of your time.","November 2018","Tereza T","Oct 2019",5
"British Museum London","Worth spending a couple of hours at this museum, at least 2 hours.A multi cultural experience for young and not so young.","October 2019","Dominic L","Oct 2019",4
"Beautiful building and exhibits Service lacking / signage poor","If you’ve read my other reviews of multiple restaurants / venues you’ll see I’m resoundingly positive . Though the museum is stunning as a building and as a place of awe and education today the service and signage was lacking . I came with a colleague after work about 415pm…","October 2019","Helena0213","Oct 2019",3
"Amazing","This is a freebie and well worth the time. There a re several floors with lots of artifacts. A few to note are Rosetta Stone and a whole floor of Ancient Egyptian mummies.","August 2019","bntzmimi","Oct 2019",5
"SLOANE'S COLLECTION","Haven't been here since Kinder-garden they have definitely fixed this place up, passed through for the Hans Sloane collection,,,, quite a find.  check it out","October 2019","T R E K","Oct 2019",3
"Too crowded to enjoy","We looked forward to this so much and expected it to be one of the highlights of our visit. We even stayed nearby because we planned to spend a lot of time there. We were only able to spend two half days there though because of the crowds. The second day we left by early…","October 2019","Dee C","Oct 2019",3
"Plan your visit first","Plan your visit - do a little or a lot of research before you go.  There are guided tours at set times, for different parts of the museum. You may find you have arrived too late for a tour that you'd wished you sould have seen.","September 2019","Ray Mark","Oct 2019",5
"Still as interesting as ever...","Quick visit to see some famous pieces. Everything about the museum - the building, the collections - is always impressive.","October 2019","Pat","Oct 2019",5
"Free and Amazing.","Whilst we made a donation, for a free attraction this place is brilliant. The building itself, and the exhibitions are world class. Definitely not a a wasted morning, particularly for a rainy day in the capital.","October 2019","Serenity","Oct 2019",5
"Rich, Fascinating, Free! [needs planning]","The British Museum is a palace of culture. it is so rich and divers that you can really spend there days. On the other hand, even if you have 1 hour it's worthwhile to enter. It's recommended to plan your visit. you can do it by visiting the internet site or by asking advise in…","October 2019","zviamely","Oct 2019",5
"Wonderful experience every time we visit","The Japanese exhibition was particularly good. Shame not contactless in the gift shop. Good coffee from the van out front.","October 2019","Hollyh0ck","Oct 2019",5
"Free!","Deserves a repeat visit. History buffs heaven. We only visited a few exhibits (Egyptian, Japan, Americas) and would like to come back for more.","October 2019","torojul","Oct 2019",5
"Wow","I was put off by the queue out onto the street when we first arrived but thankfully it moved very quickly. The building itself is beautiful and there were so many amazing exhibits. Our favourite was the Egyptian section. The mummies were fantastic! There's so much to see you…","August 2019","marthiex","Oct 2019",5
"Mindblowing exeperience","There is just so much to see when you walk around the museum with so much detail in each section going back over so many years.","April 2019","Wayne M","Oct 2019",5
"So much to see!","The museum's collection is truly impressive! A number of famous pieces are housed there, including Rosetta Stone. The Egyptian section is fascinating, especially the mummies. The gift shop is quite nice too, it offers a number of options which are not your typical run of the…","October 2019","Natallya S","Oct 2019",5
"East meets west exhibiton","I went with my wife to see the east meets west exhibition and it was absolutely amazing. The untold history of orientalism, the art of the western and eastern cultures ,influenced by one another, and the detailed descriptions of key characters in this exchange were all so…","October 2019","ElijahJ","Oct 2019",5
"Excellent visit","Love this place. On entry if you have no bag to search you can head up front and pass the security guards who are checking bags. There may be a long queue on entry although when I went there were very few people queuing. Once inside there are loads of exhibits and floors to walk…","September 2019","p4sta","Oct 2019",5
"Outstanding as always","Absolutely wonderful place to visit and revisit. One is always learning something. Would heartily recommend.","October 2019","MJ T","Oct 2019",5
"History revisited","Well worth of every penny, so much too see. Make sure you taking the camera, ideally DSLR for room light shooting. When you finish, plenty of nice restaurants nearby and close to London tube. ","May 2019","GuurruG","Oct 2019",5
"Free","Free but lots of contents. Expect to see a lot around Rosetta Stone. Can be hard to grab a picture. The Asian department was good with lots of contents.","April 2019","Sahid R","Oct 2019",3
"British Museum quick visit.","The British museum is huge and an individual could spend at least eight hours exploring. I did not have unlimited time so I was able to view the parts of the museum that included the Rosetta Stone and other Egyptian displays. I was there on a Thursday morning, and there were…","October 2019","fran b","Oct 2019",4
"Totally amazing","This was my third visit in the last couple of months as there is just so much to see here. It is just the most absorbing place full of amazing things. What ever your history interest I am sure they will have something to see here. The Egyptian part is just wonderful as well as…","October 2019","rachelab67","Oct 2019",5
"In awe","Wow! I was in awe wandering through the British Museum. I would definitely recommend the audio tours, they guide you around on different exhibit tours, multiple are doable in a day. Lunch was a bit expensive there but considering entrance is free you are definitely winning!","September 2019","claireewoo","Oct 2019",5
"Unparalleled Exhibits","Let me just say this - I believe this is probably one of the greatest museums in the world with unbelievable historical exhibits. We just happened to go in July and it was a cluster with crowds and noise and the hustle and bustle diminished our experience. The museum is worth…","July 2019","Highlander96","Oct 2019",4
"Vast","Wonderful place to visit. Leave a lot of time if you want to see it all.  We were chased by dragons and had to flee the building..","October 2019","Andrew H","Oct 2019",4
"Needed more time","Visited this place with my best buddy. Entrance was free of charge and everything was great. I guess that we needed to plan more time for this museum because we just ran into it for one and a half hours. ","October 2019","rihardsveters","Oct 2019",5
"Honeymoon","My wife and I visited on our honeymoon. A unique building, layout, and exhibits. We enjoy history and it contains a LOT of history. Give yourself at least 3-4 hrs to navigate through.","October 2019","Honeymoon","Oct 2019",4
"A whole lot of museum","If world history is your thing then this is the place for you. Very much geared up for the adult as a pose to the family this museum has historical pieces from China, Egypt through to the Roman Empire.  The mummies in the Egyptian section were particularly fascinating.  The…","October 2019","GowerDG","Oct 2019",4
"Bucket List!","The British Museum's collections offer something for everyone. Top exhibits for me included the the Rosetta Stone, Phoenician and Egyptian collections and the Lewis Chessmen. Allow for a few hours to a full day to see all the wonders that this cultural gem has to offer.","March 2019","TravelBoomerang","Oct 2019",5
"Great museum","Incredible ancient around the world in one place . It's full of interesting historical, Greek, Asian, African.  The Egyptian hall was amazing .","October 2019","Pinpinut B","Oct 2019",5
"Plan ahead...there's too much!","It's free, but leave a donation. Grab a color map or guide for a few pounds, or inside they have black and white copies for free. Most people go immediately left to see the Rosetta Stone and big Egyption and Syrian staues. I like to head to the old british and european exhibits.…","October 2019","Stream of Unconsciousness","Oct 2019",5
"Something for everyone!","Sit in the sunshine under the huge glass atrium over a cup of coffee (and gorgeous cakes) and look at the British Museum map and choose a wing or a subject.  You will not be able to 'do it' in one session - no more than you can 'do' the Louvre in one sitting.  So don't be…","June 2019","jemsyd","Oct 2019",5
"Mummy ","If you want to see mummy and discover the interesting things about culture and civilization this is the best place to visit. The British Museum is organized and beautiful.  Have a big store to buy souvenirs and places for have a meat. ","May 2019","Pryscilla Lira","Oct 2019",5
"Amazing, but way too big","The museum is free, very interesting, but waaay too big for one day. I recon you should go here every day for a week to see all of the interesting things and not just run around quickly. :) ","October 2019","Neringa J","Oct 2019",5
"Wicked Day of History and Learning!!","The British & Nat History Museums are my fav to visit in London, and whenever i get the chance i always will go and visit them, every time i go there seems to be something new to see and learn about  I only had a short time this visit as i was on a 1 day stop around the big…","September 2019","Dan & The Snoop Dog!","Oct 2019",5
"Great experience","Definitely a place to be!! Take your time to enjoy the ancient Greek and Egyptian culture and don't forget to taste the ice cream on your way out!!","October 2019","<U+0391>f<U+03C1><U+03BF>d<U+03AF>t<U+03B7> <U+039A>","Oct 2019",5
"fabulous museum","We only had 2 days in London so we did not have a ton of time to spend at the Brittish History Museum.  We were able to view the Rosetta Stone, Moai, great display of mummies and the Lewis Chess pieces.  Definitely worth the trip!","September 2019","P7710SNpatriciah","Oct 2019",5
"Amazing and free","Very impressive ancient Roman and Greek artifacts.  You don't have to be a museum buff to like it here.  The building itself is magnificent. It is also free.","October 2019","Todd Skywalker","Oct 2019",5
"Always good","Been there for an hour and it was good. Been there 3 times before and will return. Amazing Place to visit","October 2019","Linda B","Oct 2019",5
"We had a great highlight tour. Highly recommend it","My husband and I chanced upon the British Museum. We reserved the highlight tour and were very pleased. The British Museum is fantastic and can be overwhelming without a guide. We signed up for the tour on their website. Our guide was knowledgeable and a great storyteller. So…","October 2019","WestonSouthFlorida","Oct 2019",5
"Nice afternoon out","great place. Various sections cultures countries. Very interesting and educational to all ages and knowledge.  My favorite was of diseases medicines over near 100 years by a family..real notes and tablets and pics.. Wow","September 2019","Sam D","Oct 2019",4
"A must see in london!","It s so huge that you may need more than one day to see it all, but it s beautiful. It s been my second time here and i ve not been disappointed. A must see in london!","October 2019","Lorenzo Ottaviani","Oct 2019",5
"Amazing Museum","We visited on a Saturday and it wasn't too crowdy. If you are visiting the firts couple of times, I would recommend to take a tour or something, because the museum is too big. They have everything you want to see, and you can easily get lost there. We went for 3 hours and it…","September 2019","Kyan De Dood","Oct 2019",5
"This place has EVERYTHING","I mean, really, everything.  The Rosetta Stone. Allow a full day to visit this museum.  They have items that arguably should be returned to the country of origin but they argue that they are caretakers for the artifacts and they use state of the art science to preserve and…","October 2019","bettymat2018","Oct 2019",5
"Must see in London","Whether you are a Londoner or a tourist this place is a must on your itinerary.  I love going to the special exhibitions but overall it's an iconic museum. ","October 2019","Andrew S","Oct 2019",5
"Too much to see","Too much to see. Too much people in bad weather. I felt like staff doesnot care too much. Be prepared for queue at entrance and security check of bags.","October 2019","Štepán V","Oct 2019",4
"British museum us free!","Please give a donation. The place is huge...we liked the ancient Egypt exhibit among many others. It is huge so wear good walking shoes and prepare for long day to get it all in or pick a few","October 2019","Staci L","Oct 2019",5
"Get there early ","The British Museum is in an amazing building that’s worth checking out in itself.  The museum is divided by parts of the world, the highlights for me where the Egypt and Ancient Greek sections.  The Parthenon exhibition containing the Elgin Marbles is quite awe inspiring.  The…","October 2019","Paul","Oct 2019",4
"If going with children, remember to download and print the family trails at home!","We went to the British Museum with our two daughters, ages 7 and 4, who were longing to see the mummies. I had done some research on the museum's website before going, and downloaded the ancient Egypt trail for families pdf. It includes a few description of what you will see in…","October 2019","Radioonthego","Oct 2019",5
"So much to see!","There is just so much to see at the British Museum that one day would not be enough so pick a few special themes you want to see and make that your main focus. I chose the Egyptian rooms. It was fascinating and a bit creepy looking at the mummies.  Went on an October weekday and…","October 2019","ggloww","Oct 2019",5
"Simply astounding!!","Having visited this absolutely incredible ""Museum of, and, for the World"" semi-regularly since 1971, I am still ""gobsmacked"" by its collection of 8+ million objects, covering about 2 million years.  One might think that many visits allow one to cover the 907,000 ft 2 (or, about…","September 2019","Mark D","Oct 2019",5
"A MAZING!","Turns out the British collected historical relics from the Assyrians, Egyptians, Romans, etc. put them all together in a MASSIVE museum with free admission.  Nothing special, just the ROSETTA STONE and multi ton statues.  Some of this stuff looked like it was dug up from times…","October 2019","Susan Johnson","Oct 2019",5
"A treasure trove","Feeling a little daunted by the overwhelming collection/exhibits, we opted to book a highlights tour of the museum. Highly recommended as we saw some key pieces (including the Rosetta stone and the Elgin Marbles), learned a lot and felt uplifted rather than exhausted at the end.…","September 2019","Hatfia","Oct 2019",5
"a culural and historical gem","being very interested in egyptology, for me the british museum is a must and i go there whenever i have a chance. there are not many places in the world with such a high level seletion of impotant artifacts","February 2019","Allan Eimert","Oct 2019",5
"must see...very large museum with much to offer","Every one sees the rosetta stone. Take a 20 min deep dive tour or 1 hour highlights tour.  The place is really huge so expect to be there several hours.","October 2019","David O","Oct 2019",5
"Influence of Islamic Art on Western Artists","Absolutely disappointing. Pointless two to three rooms.. of this exhibition after following on from the stunning L’Orient des Peintres exhibition in Paris.  You have the whole of the British Museum stuffed to the rafters with amazing Indian, Chinese, Persian Art, Ottoman Art…","October 2019","rkg3","Oct 2019",2
"Must visit ","You just can't miss this.  There's some treasures stored here that are mind-blowing.  The collections that can only be compared to those at the Louvre or Vatican city","October 2019","dare","Oct 2019",5
"Excellent as always","Many  new  exhibitions this year . The Egypt  displays are wonderful and could easily take up a full day on their own. Then there's the Roman and downstairs to Africa.  Always worth a visit. MAKE A DONATION NO MATTER HOW SMALL","October 2019","barker1948","Oct 2019",5
"Amazing !","It is a must !!!  You can see pieces from all over the world and there’s a multicultural hall on the ground floor ","October 2019","DaniellaR","Oct 2019",5
"Rewarding Visit","Huge building that store many exhibits.  Need more than a day to view more! Was there to attend the special exhibit on ""how the Muslim word influenced western arts""","October 2019","Dorothy G","Oct 2019",5
"A must-see","You just can't miss this.  There's some area that will appeal to you, no matter what your interests, and the treasures stored here -- away from the turmoil of the world - are mind-blowing.  The collections of remote antiquity can only be compared to those at the Louvre.","October 2019","Mark W","Oct 2019",5
"worth to go there just for the beautiful architecture","The British Museum is one of those places I like to visit to just experience the beauty and feeling of space. The wonderful ethereal glass roof resting lightly on the old stone walls of the original building allows the huge entrance hall to be flooded in natural light. It is a…","July 2019","Ntalabany","Oct 2019",5
"Brilliant exhibition- very poor organisation -especially with reduced access","Travelled from Yorkshire to London to see the Kathe Kolwicz exhibition - which was great.  We knew not to bring bags to the BM but were directed into the long queue for security. When we got to the end of the queue, 20 minutes later, we were just waved through. The exhibition is…","October 2019","MatthewHelbert","Oct 2019",2
"Cant wait to come back again","What an amazing place!! I just wish we had more time to see everything!! Going during the week and during offseason for tourism is the time to go!!","October 2019","houtex1973","Oct 2019",5
"What a great museum","It is not too big, but is packed of ancient history. We were really impressed with the content of the museum. A lot of pieces from Greece, Rome, Babylon, among other areas conserved almost perfectly.","October 2019","Salvador H","Oct 2019",5
"The place to go for a day of learning","We landed in London early and because we were unable to check into our hotel we decided to spend the day at the museum.  It was a great choice.  An amazing collection and something for everyone.  The only thing I would say is do not go on a weekend.  We went on'a Sunday and it…","October 2019","Danelle O","Oct 2019",5
"Lots of artifacts taken during British expeditions","The museums collection is impressive.  Many ancient world treasures in 1 location, most acquired over the course of England's imperial history.  They now have signs saying it is better for the artifacts to remain in England and could never be safely returned.  Would the other…","October 2019","ilBuckeye","Oct 2019",3
"Brilliant exhibitions","Wow, from the first step in here we were hooked  Great exhibits and I know we didn't get round all of it.  I will definitely be interested in returning next time in london","October 2019","britts1066","Oct 2019",5
"Great museum","We visited on a rainy day, worth noting - the queue is long and your exposed to the elements. Families with children can go ahead in a separate shorter queue. We decided to go around the museum in a clockwise direction. This starts you off with the architectural based sections…","October 2019","Garry Brace","Oct 2019",5
"Amazing experience","Visited to see Ancient Egypt, linked to a primary school topic. The museum is clean and well presented, with wonderfully curated exhibits with lots of information.  The security staff were amazing, kindly let us skip the queue due to a long wait and a child in our group with a…","October 2019","RPB1978","Oct 2019",5
"A must see","I visited on a Saturday. My must see was the Sutton at Hoo hoard. I wasn’t disappointed, this is a must see on a London visit.","October 2019","pauljjj2017","Oct 2019",5
"Great muesum","Great museum. Especialy greek and egypt history. Lots of people . Very crowded.  Upper floors with lift.","October 2019","Iremir","Oct 2019",5
"Great range of artefacts from europe and beyond","The British museum has an incredible range of artifacts and objects from all over the world arranged according to the period they originated from and the country or region. It is a fabulous way to get an idea of how civilisation progressed through history. It would take several…","September 2019","13out","Oct 2019",5
"One of the very best","I love Egyptian history, the British museum didn’t disappoint. It was truly larger than expected and I could have done two days there...  I did it the day before the V&A, it was slightly better while both are greats.  Also... free is a bonus!","September 2019","richardintx","Oct 2019",5
"Immense ","We spent an afternoon here - thoroughly enjoyed it - but felt that we'd scarcely scratched the surface of what there is to see. Will definitely return.","October 2019","Rodders","Oct 2019",5
"Iconic","Always a great place to wander about great collections beautiful architecture fab location easy access","October 2019","Sarah R","Oct 2019",5
"Nature is wonderful","A little dissapointed with one of the connecting corridors (I think between mammals and sea creatures - or may be fish and reptiles). It lacked lovely photos and yet there were empty blank display boards.... Very dissapointed with the chicken lettuce and caesars dressing wrap at…","October 2019","ghyslainermb","Oct 2019",4
"Too much to see in one day!","Beautiful FREE museum with wonderful collection of art. Loved the Easter Island heads/Moai, Egyptian and greek statues/carvings, and of course, the Rosetta stone. Lovely gift shops and cafes. To avoid the biggest crowds, try weekdays and sunny ones at that.","October 2019","Kyle R","Oct 2019",5
"A great day out","The British Museum was fantastic.  There is so so much to see there that we couldn't take it all in.   Loved the Egyptian room, The North Americas, the various private collections","October 2019","Stephanie G","Oct 2019",5
"Exploring London sites. ","In a word,  magnificent.  Huge in it's offer,  so plan carefully what to see because there is so much to see that you need to be selective. Resting and eating facilities are excellent and very well appointed. Exhibits very clearly layed out and illustrated. An absolute mine of…","October 2019","netgezien","Oct 2019",5
"...AND IT’S FREE!","This amazing place is the jewel in the crown of London museums, possibly the best museum in all the world!  If you only have one day to visit (this London visit for us) then you have to be strategic in planning your time there.  You can spend days here and not see it all.   We…","August 2019","kinderjude","Oct 2019",5
"Too crowded","A lot to see, but the lower level was crammed full of so many people we had problems moving.  I see timed tickets in the future.","October 2019","Dean H","Oct 2019",4
"Great place","Love this place. Wish i have more to time to explore. Artifacts were so nice. The only museum that I’ve enjoyed so far (haven’t been to a lot though <U+0001F602>)","October 2019","Kristine D","Oct 2019",5
"Excellent,  we downloaded the plan from website ","Also getting to the clock room at midday was excellent too.  The layout is great but some clocks badly lot.  ","October 2019","Denise","Oct 2019",5
"Museum fantastic, Western Influence of Islamic Art Exhibition lacking","I visited the museum today and, as usual the displays are fantastic and very informative.  However, I was disappointed with the content of the Islamic Art Exhibition as i felt it was lacking in content, particularly with how western art has been influenced.  At £14 per adult, I…","October 2019","50schild1950","Oct 2019",4
"Always superb","We mainly stuck to the Egyptian, Roman, Greek and British medieval parts.  Everything was great even if it was very crowded.  The exhibits are always superb and there is normally a pay for extra exhibition.  It wasn't of interest this time but it's a great way of refreshing the…","October 2019","BackPacker800547","Oct 2019",5
"Visited to see a new exhibition but hugely impressed with the museum gnerally.","An absolutely fabulous museum and undoubtedly one of the best in the world. Haven't visited for many years but will certainly be back following this visit. ","October 2019","Jon W","Oct 2019",5
"Must visited place ","Really interesting place. The design is marvelous. For the people who love history- must visit!!!!!!","October 2019","Liza M","Oct 2019",3
"A Necessary Visit for Historical Matters","Once again, this museum blows you away in scope and depth of displays. Although, the written information about the Elgin Marbles was very weak.","September 2019","Drives","Oct 2019",5
"No where like this elsewhere","Arrive early to avoid the majority of the tourist groups, although the museum opens at 10am you can actually get in earlier to get around the long waits through security. The collection of world wonders here is unique and as such unmissable to anyone visiting London. Top tip the…","September 2019","Rob M","Oct 2019",5
"Just wow! ","Right when I walked in I was already amazed by the museum. Such a beautiful foyer area! The museum itself is huge. I was able to spend around 3 hours there and see everything I wanted to, but definitely not the whole museum. Went during a weekday morning to afternoon and it was…","October 2019","Sarah H","Oct 2019",5
"Amazing place","The British Museum was amazing for anyone interested in world history. You could spend an entire day here and would not see everything. We did not intend to visit this but we are glad we did.","September 2019","craig s","Oct 2019",5
"BRITISH MUSEUM IN THE GUTTER","It’s been atleast 10 years since I have been to the BM and I thought it would be a lovely idea to visit and look at England’s / Britain’s history from Mediaeval to the Stone Age.     There’s a lot here that’s wonderful but I have had such an appalling experience I thought I…","October 2019","Adam C","Oct 2019",1
"Vast amounts of history","How many places can you go and have free access to all that history.   It can get a bit confusing inside as to what you have seen and what you haven't, but do allow for a minimum of 2-3hrs.  If you enjoy history put this place on your to do list!","October 2019","Dave","Oct 2019",5
"A fabulous place","Each time I visit the Museum it has new experiences to offer in every department.  I am always blown away by the range and quality of permanent exhibits and the wonder of the special exhibitions. It never ceases to amaze me at the level of craftsmanship of all Mankind dating…","October 2019","Eddiehump","Oct 2019",5
"Huge museum","Must go if you have the time and you love history. Plenty of artefacts to view, hours and hours of viewing. ","June 2019","Apple","Oct 2019",5
"The best museum EVER","No matter how many times I go there it’s always a pleasure and every time I discover something new. Even if you think you saw all rooms of permanent exhibition there is always some temporary exhibition waiting to be discovered ","September 2019","Ejnsophi","Oct 2019",5
"lots of history","quiet compared with Science Museum which was  full of screaming children running around.  Found the mummies display a bit unnerving, the Aussies and Americians  I was talking with, left the lenses on their cameras in respect. A bit difficult to find from Oxford Street, down a…","September 2019","gardener772","Oct 2019",5
"A wonderful review of civilization as seen by Britain at its height","The British Museum is controversial not for its wonderful holdings and exhibits but for the tradeoff between preservation of artifacts which were often taken in conquest, the opportunity to preserve things which would have otherwise likely been destroyed, and the rights of…","August 2019","Traveldoc","Oct 2019",5
"Lots to see!","If you’re going to be in London for a few days, definitely go here. For one thing, it’s free so why not?!  There is a lot of different exhibits, and plenty to see for all types of people. There is a cafe inside if you need a beverage or snack. Beautiful building to snap a pic of…","October 2019","KellNJ","Oct 2019",5
"Extensive Museum","Blown away by the artifacts and history on display.  This will occupy a few hours of your day if you want to troll this treasure trove of History","October 2019","Sumeshnee","Oct 2019",5
"Ok if you like Egypt","We went walking around this museum but we did not have enough time to do it justice. Most of the things we looked at seemed to be all about Egypt. I found it a bit boring perhaps with more time I might have had a better experience.","October 2019","Digitalman2","Oct 2019",3
"Fabulous","Its just superb with so much to see you could spend days. Not nice to learn they have smooch stuff from other countries but to see it all in one place.   If you have interest in history this is a great tourist spot.","October 2019","Klara","Oct 2019",4
"busy for hours","i look my child there for a school project and arrived at 11:00 and finished at 15:00 i am not kidding but we did go out for 30 mins to grab lunch so. really just excellent place to visit so easy to book and just amazing","November 2018","john doe","Oct 2019",5
"Excellent museum","Went to this museum because my son wanted to see the mummies...he had been reading about them... We wandered for a while through the museum after not waiting very long in line, and were mesmerized by all artifacts we saw. My son also loved it, especially the mummies and the big…","October 2019","Yappuh","Oct 2019",5
"Amazing! (But get a guide)","This is one of the great repositories of human history & accomplishments. You could easily spend several weeks wandering through it, and yet there would be more to see. If you have less time than that, hire someone knowledgeable who can take you to the highlights of most…","September 2019","Skip B.","Oct 2019",5
"British Museum","Went to the museum on a busy day for us with 4 different sites. A lot of early world displays. Really liked the section on money throughout the ages. Also a lot of time keeping displays. The original Rosetta Stone was there also. Good place to visit and a lot to see.","October 2019","Bob K","Oct 2019",4
"Great place","Though much of the exhibits were stolen from their original countries, its always a great place to visit....and Ginger ( the mumy with ginger hair, is still there!).","September 2019","Anne R","Oct 2019",5
"Fine experience ","It was a really great experience. However there was a lot of school children everywhere so it was not that easy getting around to everything. ","October 2019","Pernille S","Oct 2019",4
"An astonishing array of artifacts","It is almost stupid for me to have to make this post;  The British Museum is home to some of the most important human artifacts and creations ever known to Man.  To have them under one roof and accessible (for free... no charge to get in!) is a miracle.  If you are in London for…","October 2019","oiramsq","Oct 2019",5
"MESMERIZING ANYWHERE YOU GO","We were blown away by the experience of wandering these amazing galleries. We split up so we could absorb exhibits without distraction, then met for lunch and revisited our favorites. Five transformative hours; could have spent at least another day there. Great people watching…","September 2019","Betsarama","Oct 2019",5
"Great exhibitions","Was hard selecting exhibitions to go to, as the variety is large. Really enjoyed the ancient Egypt, Japan and China exhibitions.","September 2019","Amnon G","Oct 2019",5
"One of the great museums","Whether you go fo rthe static displays or one of the specialised exhibitions this is a magnificent place that typically requires at least three to four hours.","May 2019","Kafil D","Oct 2019",5
"British museum","For me was OK,  not to my taste, but if you like bits of history , Egyptian artifacts and the like, you’ll enjoy it.","September 2019","Vicky L","Oct 2019",3
"IF YOU ONLY HAVE TIME FOR ONE SIGHT","This museum is well worth the day we spent there, and we could have stayed another day or two to see it all.  Had a private guide whe made the place come alive!  ","September 2019","Pat Y","Oct 2019",5
"One of the world's greatest museums.","Not to be missed.  The only drawback is that it could take you years to really explore all the wonderful collections.  I have visited many times over the years and still haven't seen it all.","September 2019","Venetia020","Oct 2019",5
"Well worth a visit","Whilst the web site says it opens at 10 you can enter the court yard earlier and go through security and collect you maps and audio guides. I recommend you do this as then once it turns 10am you are ready to go straight to the areas that most interest you. There is loads to see…","October 2019","e.hamill66@gmail.com","Oct 2019",4
"Wonderful exhibitions","Fantastic display of Egyptian, Assyrian, Mesopotamia sculpture, pots etc on the ground floor. So much to see there but you do need a lot of time. Great little gift shop with good range. Easy walking distance from hop on hop off stop.","October 2019","Helen P","Oct 2019",5
"AMAZING","I was impressed with the museum. Worth to visit well organised and very informative. A perfect place to spend a few hours.","October 2019","sanhidgut","Oct 2019",5
"Outstanding museum","Suggest getting there at the opening as the crowds later in the day are overwhelming.  So many artifacts to see.  Suggest purchasing the audio guide and review the floor plan for the location of certain exhibits prior to visiting so that you can design a plan to see those that…","October 2019","dawg1012","Oct 2019",5
"signage not great","whilst packed with a huge amount of artefacts particularly Greek, Egyptian and Roman - there are hidden gems such as variety of clocks and timepieces.    It would be helpful if the description of galleries on the museum maps matched the signs on the walls !   Possible to send…","October 2019","indlag","Oct 2019",4
"So Much to See","What an enormous collection of history.  You can spend a couple of days here but you're usually wiped out after a few hours.  I recommend buying tickets online to avoid lines.  Try to go early before the tour and school trips arrive or later in the day after they leave.  I…","September 2019","Getoutmuch2015","Oct 2019",5
"Plan a long visit","Not what I was expecting for the British museum as most of the artefacts are from other countries, I thought it would be British history through the ages. That said it is amazing with so much to see. We only had a couple of hours which was nowhere near long enough, I would say…","October 2019","Tillson9","Oct 2019",4
"WOW","I have visited London many times, and have been to several museums, but never to the British Museum until my last trip here. All I can say is WOW and AMAZING! London has some incredible museums and art galleries, but as of now, I think this may be my favorite. I was further…","April 2019","briggscampbell","Oct 2019",5
